step,loss,learning_rate,epoch
2050,0.09708500862121582,4.6475029078473656e-05,1.6400000000000001
2100,0.08500359535217285,4.427971921897085e-05,1.6800000000000002
2150,0.08244497299194337,4.209553176916727e-05,1.72
2200,0.08758001327514649,3.992671362333373e-05,1.76
2250,0.09687487602233887,3.7777481791946556e-05,1.8
2300,0.0946277904510498,3.565201520220921e-05,1.8399999999999999
2350,0.08256272315979003,3.355444657262238e-05,1.88
2400,0.10024744033813476,3.148885437740153e-05,1.92
2450,0.08806591033935547,2.945925491636586e-05,1.96
2500,0.08490104675292968,2.746959450571821e-05,2.0
2550,0.06435905456542969,2.5523741804899732e-05,2.04
2600,0.0691459321975708,2.362548029443895e-05,2.08
2650,0.05671804428100586,2.1778500919421208e-05,2.12
2700,0.05714212417602539,1.998639491288237e-05,2.16
2750,0.05484358310699463,1.8252646813080565e-05,2.2
2800,0.055085668563842775,1.658062768822373e-05,2.24
2850,0.05445992469787598,1.4973588581825877e-05,2.2800000000000002
2900,0.06372878074645996,1.3434654191437413e-05,2.32
2950,0.053439064025878905,1.1966816793040108e-05,2.36
3000,0.060023622512817384,1.0572930422920246e-05,2.4
3050,0.056635565757751465,9.25570532833247e-06,2.44
3100,0.05326186180114746,8.017702697744422e-06,2.48
3150,0.053493623733520505,6.86132968090859e-06,2.52
3200,0.0560164213180542,5.7888347084441405e-06,2.56
3250,0.05035240650177002,4.802303120029445e-06,2.6
3300,0.05283277988433838,3.903653109705596e-06,2.64
3350,0.045140194892883304,3.0946319961748738e-06,2.68
3400,0.05605848789215088,2.3768128253461253e-06,2.7199999999999998
3450,0.04589752197265625,1.7515913117329309e-06,2.76
3500,0.05358296871185303,1.2201831246517859e-06,2.8
