step,epoch,eval_loss,probe_n,verbal_compliance,verbal_mean_confidence
0,0,3.3431601524353027,120,0.95,0.67982
50,0.04,,120,0.99167,0.61597
100,0.08,,120,1.0,0.52667
150,0.12,,120,1.0,0.4575
200,0.16,,120,1.0,0.45833
250,0.2,,120,1.0,0.49167
300,0.24,,120,1.0,0.49167
350,0.28,,120,1.0,0.45833
400,0.32,,120,0.99167,0.5042
450,0.36,,120,0.99167,0.43697
500,0.4,0.1359967291355133,120,1.0,0.43333
550,0.44,,120,0.98333,0.50847
600,0.48,,120,0.99167,0.47059
650,0.52,,120,1.0,0.45833
700,0.56,,120,0.98333,0.49153
750,0.6,,120,0.95833,0.51304
800,0.64,,120,0.69167,0.59036
850,0.68,,120,0.91667,0.55455
900,0.72,,120,0.60833,0.67123
950,0.76,,120,0.69167,0.66265
1000,0.8,0.12680648267269135,120,0.775,0.63441
1050,0.84,,120,0.83333,0.57
1100,0.88,,120,0.76667,0.61957
1150,0.92,,120,0.825,0.56566
1200,0.96,,120,0.7,0.60714
1250,1.0,,120,0.63333,0.72368
1300,1.04,,120,0.725,0.66667
1350,1.08,,120,0.58333,0.7
1400,1.12,,120,0.63333,0.68421
1450,1.16,,120,0.3,0.97222
1500,1.2,0.12075963616371155,120,0.525,0.7619
1550,1.24,,120,0.55,0.78788
1600,1.28,,120,0.45,0.77778
1650,1.32,,120,0.425,0.82353
1700,1.36,,120,0.425,0.80392
1750,1.4,,120,0.35,0.92857
1800,1.44,,120,0.375,0.91111
1850,1.48,,120,0.49167,0.77966
1900,1.52,,120,0.44167,0.83019
1950,1.56,,120,0.40833,0.89796
2000,1.6,0.127778097987175,120,0.36667,0.95455
2050,1.64,,120,0.36667,0.95455
2100,1.68,,120,0.25,0.96667
2150,1.72,,120,0.51667,0.77419
2200,1.76,,120,0.31667,0.94737
2250,1.8,,120,0.35833,0.93023
2300,1.84,,120,0.35833,0.90698
2050,1.64,,120,0.325,0.97436
2100,1.68,,120,0.21667,1.0
2150,1.72,,120,0.51667,0.77419
2200,1.76,,120,0.28333,0.97059
2250,1.8,,120,0.33333,0.925
2300,1.84,,120,0.35833,0.88372
2350,1.88,,120,0.39167,0.87234
2400,1.92,,120,0.33333,0.95
2450,1.96,,120,0.275,0.93939
2500,2.0,0.12596747279167175,120,0.25,0.93333
2550,2.04,,120,0.35,0.90476
2600,2.08,,120,0.24167,0.96552
2650,2.12,,120,0.36667,0.88636
2700,2.16,,120,0.24167,0.93103
2750,2.2,,120,0.25,1.0
2800,2.24,,120,0.225,1.0
2850,2.28,,120,0.19167,1.0
2900,2.32,,120,0.26667,0.96875
2950,2.36,,120,0.19167,1.0
3000,2.4,0.1577010452747345,120,0.25,1.0
3050,2.44,,120,0.19167,1.0
3100,2.48,,120,0.20833,1.0
3150,2.52,,120,0.175,1.0
3200,2.56,,120,0.18333,1.0
3250,2.6,,120,0.19167,1.0
3300,2.64,,120,0.16667,1.0
3350,2.68,,120,0.175,1.0
3400,2.72,,120,0.15833,1.0
3450,2.76,,120,0.15833,1.0
3500,2.8,0.15802344679832458,120,0.16667,1.0
