step,loss,learning_rate,epoch
2050,0.10260695457458496,4.6475029078473656e-05,1.6400000000000001
2100,0.09860734939575196,4.427971921897085e-05,1.6800000000000002
2150,0.1008434009552002,4.209553176916727e-05,1.72
2200,0.0987265682220459,3.992671362333373e-05,1.76
2250,0.10015090942382812,3.7777481791946556e-05,1.8
2300,0.09787741661071778,3.565201520220921e-05,1.8399999999999999
2350,0.09396146774291993,3.355444657262238e-05,1.88
2400,0.11313155174255371,3.148885437740153e-05,1.92
2450,0.10174331665039063,2.945925491636586e-05,1.96
2500,0.09182756423950195,2.746959450571821e-05,2.0
2550,0.06418067455291748,2.5523741804899732e-05,2.04
2600,0.05814206600189209,2.362548029443895e-05,2.08
2650,0.060855989456176755,2.1778500919421208e-05,2.12
2700,0.0607761287689209,1.998639491288237e-05,2.16
2750,0.050391225814819335,1.8252646813080565e-05,2.2
2800,0.05571075916290283,1.658062768822373e-05,2.24
2850,0.051583294868469236,1.4973588581825877e-05,2.2800000000000002
2900,0.060930457115173337,1.3434654191437413e-05,2.32
2950,0.053320608139038085,1.1966816793040108e-05,2.36
3000,0.05723687648773193,1.0572930422920246e-05,2.4
3050,0.05171650409698486,9.25570532833247e-06,2.44
3100,0.04947127342224121,8.017702697744422e-06,2.48
3150,0.06082400321960449,6.86132968090859e-06,2.52
3200,0.05721814155578613,5.7888347084441405e-06,2.56
3250,0.04811613082885742,4.802303120029445e-06,2.6
3300,0.049861063957214354,3.903653109705596e-06,2.64
3350,0.04633024692535401,3.0946319961748738e-06,2.68
3400,0.04863911628723144,2.3768128253461253e-06,2.7199999999999998
3450,0.043145575523376466,1.7515913117329309e-06,2.76
3500,0.05067184925079346,1.2201831246517859e-06,2.8
