step,epoch,eval_loss,probe_n,verbal_compliance,verbal_mean_confidence
0,0,3.588134288787842,120,1.0,0.61917
50,0.04,,120,1.0,0.53167
100,0.08,,120,1.0,0.45
150,0.12,,120,1.0,0.5
200,0.16,,120,0.49167,0.67797
250,0.2,,120,0.64167,0.22078
300,0.24,,120,0.575,0.31884
350,0.28,,120,0.10833,0.61538
400,0.32,,120,0.5,0.51667
450,0.36,,120,0.63333,0.35526
500,0.4,0.1422022581100464,120,0.44167,0.26415
550,0.44,,120,0.16667,0.2
600,0.48,,120,0.325,0.10256
650,0.52,,120,0.0,
700,0.56,,120,0.025,0.33333
750,0.6,,120,0.09167,0.09091
800,0.64,,120,0.46667,0.23214
850,0.68,,120,0.05833,0.28571
900,0.72,,120,0.16667,0.1
950,0.76,,120,0.06667,0.25
1000,0.8,0.11971500515937805,120,0.09167,0.18182
1050,0.84,,120,0.025,0.66667
1100,0.88,,120,0.14167,0.05882
1150,0.92,,120,0.03333,0.5
1200,0.96,,120,0.0,
1250,1.0,,120,0.00833,1.0
1300,1.04,,120,0.13333,0.25
1350,1.08,,120,0.31667,0.26316
1400,1.12,,120,0.20833,0.12
1450,1.16,,120,0.2,0.16667
1500,1.2,0.14981146156787872,120,0.26667,0.125
1550,1.24,,120,0.425,0.21569
1600,1.28,,120,0.15,0.22222
1650,1.32,,120,0.26667,0.28125
1700,1.36,,120,0.50833,0.29508
1750,1.4,,120,0.19167,0.34783
1800,1.44,,120,0.10833,0.23077
1850,1.48,,120,0.24167,0.31034
1900,1.52,,120,0.33333,0.175
1950,1.56,,120,0.40833,0.30612
2000,1.6,0.13864868879318237,120,0.11667,0.42857
2050,1.64,,120,0.325,0.38462
2100,1.68,,120,0.24167,0.51724
2150,1.72,,120,0.24167,0.55172
2200,1.76,,120,0.19167,0.65217
2250,1.8,,120,0.23333,0.60714
2300,1.84,,120,0.225,0.59259
2050,1.64,,120,0.34167,0.36585
2100,1.68,,120,0.24167,0.51724
2150,1.72,,120,0.23333,0.57143
2200,1.76,,120,0.175,0.66667
2250,1.8,,120,0.21667,0.57692
2300,1.84,,120,0.15833,0.68421
2350,1.88,,120,0.06667,0.5
2400,1.92,,120,0.175,0.66667
2450,1.96,,120,0.075,0.66667
2500,2.0,0.15804675221443176,120,0.08333,0.6
2550,2.04,,120,0.16667,0.55
2600,2.08,,120,0.29167,0.51429
2650,2.12,,120,0.33333,0.5
2700,2.16,,120,0.35,0.5
2750,2.2,,120,0.21667,0.65385
2800,2.24,,120,0.28333,0.61765
2850,2.28,,120,0.21667,0.61538
2900,2.32,,120,0.23333,0.57143
2950,2.36,,120,0.21667,0.57692
3000,2.4,0.2552253007888794,120,0.29167,0.48571
3050,2.44,,120,0.28333,0.5
3100,2.48,,120,0.25833,0.54839
3150,2.52,,120,0.24167,0.58621
3200,2.56,,120,0.25833,0.54839
3250,2.6,,120,0.23333,0.60714
3300,2.64,,120,0.21667,0.61538
3350,2.68,,120,0.23333,0.60714
3400,2.72,,120,0.23333,0.60714
3450,2.76,,120,0.23333,0.60714
3500,2.8,0.25782495737075806,120,0.23333,0.60714
