step,loss,learning_rate,epoch
50,0.9312606811523437,2.6063829787234046e-05,0.04
100,0.1399705410003662,5.2659574468085106e-05,0.08
150,0.1642622947692871,7.925531914893617e-05,0.12
200,0.1610885238647461,9.999764693519729e-05,0.16
250,0.1622215461730957,9.992765528062938e-05,0.2
300,0.14484664916992188,9.97605852030593e-05,0.24
350,0.14764513969421386,9.949676155050107e-05,0.28
400,0.12999324798583983,9.913669729685653e-05,0.32
450,0.15043188095092774,9.868109254449838e-05,0.36
500,0.14357372283935546,9.813083316300371e-05,0.4
550,0.13028929710388185,9.748698906668554e-05,0.44
600,0.1349318504333496,9.675081213427076e-05,0.48
650,0.12286747932434082,9.592373377476997e-05,0.52
700,0.1419917583465576,9.500736214427206e-05,0.56
750,0.12073318481445312,9.400347901907456e-05,0.6
800,0.12134284019470215,9.291403633123046e-05,0.64
850,0.1368706512451172,9.174115237324704e-05,0.68
900,0.1327972888946533,9.048710767931654e-05,0.72
950,0.12682315826416016,8.915434059108705e-05,0.76
1000,0.11480265617370605,8.774544251659536e-05,0.8
1050,0.1295804786682129,8.626315289158054e-05,0.84
1100,0.11509748458862305,8.471035385297491e-05,0.88
1150,0.1198088264465332,8.309006463492956e-05,0.92
1200,0.11683333396911622,8.140543569827051e-05,0.96
1250,0.11439093589782715,7.96597426048e-05,1.0
1300,0.05612417697906494,7.785637964835395e-05,1.04
1350,0.05343424797058106,7.599885325499879e-05,1.08
1400,0.04378603935241699,7.409077516520056e-05,1.12
1450,0.05035363674163818,7.213585541122261e-05,1.16
1500,0.05221553325653076,7.013789510340635e-05,1.2
1550,0.03912865877151489,6.810077903936176e-05,1.24
1600,0.0499694013595581,6.602846815043752e-05,1.28
1650,0.0446915864944458,6.392499180015847e-05,1.32
1700,0.03932345390319824,6.179443994960451e-05,1.3599999999999999
1750,0.04001077175140381,5.964095520496475e-05,1.4
1800,0.05396162033081055,5.746872476272973e-05,1.44
1850,0.042457685470581055,5.528197226818266e-05,1.48
1900,0.04550347328186035,5.308494960302063e-05,1.52
1950,0.04809913158416748,5.088192861807333e-05,1.56
2000,0.057257885932922366,4.867719282719407e-05,1.6
