step,epoch,eval_loss,probe_n,verbal_compliance,verbal_mean_confidence
0,0,3.588134288787842,120,1.0,0.61917
0,0,3.588134288787842,120,1.0,0.61917
50,0.04,,120,1.0,0.47792
0,0,3.588134288787842,120,1.0,0.61917
50,0.04,,120,1.0,0.47792
100,0.08,,120,1.0,0.45833
150,0.12,,120,1.0,0.51667
200,0.16,,120,0.98333,0.5339
250,0.2,,120,0.90833,0.46881
300,0.24,,120,0.89167,0.47664
350,0.28,,120,0.21667,0.07692
400,0.32,,120,0.05833,0.71429
450,0.36,,120,0.525,0.28571
500,0.4,0.13487957417964935,120,0.00833,1.0
550,0.44,,120,0.15833,0.05263
600,0.48,,120,0.15833,0.05263
650,0.52,,120,0.0,
700,0.56,,120,0.275,0.15152
750,0.6,,120,0.00833,1.0
800,0.64,,120,0.0,
850,0.68,,120,0.00833,1.0
900,0.72,,120,0.00833,1.0
950,0.76,,120,0.0,
1000,0.8,0.13619665801525116,120,0.00833,1.0
1050,0.84,,120,0.0,
1100,0.88,,120,0.01667,0.5
1150,0.92,,120,0.00833,1.0
1200,0.96,,120,0.0,
1250,1.0,,120,0.00833,1.0
1300,1.04,,120,0.03333,0.25
1350,1.08,,120,0.275,0.0303
1400,1.12,,120,0.2,0.04167
1450,1.16,,120,0.00833,1.0
1500,1.2,0.1487182080745697,120,0.14167,0.05882
1550,1.24,,120,0.06667,0.125
1600,1.28,,120,0.075,0.11111
1650,1.32,,120,0.1,0.08333
1700,1.36,,120,0.4,0.125
1750,1.4,,120,0.225,0.07407
1800,1.44,,120,0.15833,0.10526
1850,1.48,,120,0.225,0.11111
1900,1.52,,120,0.16667,0.05
1950,1.56,,120,0.20833,0.08
2000,1.6,0.14351223409175873,120,0.11667,0.14286
